顾客编号,1月销售总额,1月消费天数,2月销售总额,2月消费天数,3月销售总额,3月消费天数,4月销售总额,4月消费天数
79,26.89,3.0,0.0,0.0,0.0,0.0,0.0,0.0
80,199.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,257.46999999999997,13.0,254.07000000000002,13.0,273.79999999999995,11.0,211.13000000000002,10.0
82,34.48,1.0,0.0,0.0,0.0,0.0,64.86,1.0
83,89.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84,396.68999999999994,6.0,416.59999999999985,2.0,232.10000000000005,3.0,413.24000000000007,6.0
85,26.18,1.0,0.0,0.0,82.11,2.0,0.0,0.0
86,197.30000000000004,3.0,0.0,0.0,0.0,0.0,68.46,1.0
87,351.88999999999993,8.0,123.47999999999999,2.0,250.80999999999997,3.0,173.08000000000007,6.0
88,102.88,3.0,190.01000000000002,3.0,71.72,1.0,0.0,0.0
89,26.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,197.23000000000005,2.0,284.98999999999995,3.0,0.0,0.0,42.3,1.0
91,377.49999999999994,8.0,98.34,1.0,96.14000000000001,3.0,576.1899999999998,6.0
92,1020.22,20.0,215.02999999999997,7.0,0.0,0.0,111.27000000000001,5.0
93,260.28000000000003,9.0,112.92,4.0,222.53000000000003,6.0,275.2299999999999,9.0
94,361.49999999999994,4.0,0.0,0.0,33.2,1.0,0.0,0.0
95,36.84,4.0,62.160000000000004,4.0,63.36000000000001,4.0,50.629999999999995,4.0
96,73.82000000000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0
97,7.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,22.700000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,214.24,2.0,0.0,0.0,0.0,0.0,90.70000000000002,2.0
100,44.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,90.19,8.0,162.88,7.0,152.58,4.0,161.9,2.0
103,137.43,2.0,0.0,0.0,33.730000000000004,2.0,0.0,0.0
104,91.38000000000001,3.0,0.0,0.0,118.69,3.0,0.0,0.0
105,348.32000000000005,11.0,121.47999999999999,5.0,79.76,2.0,149.59000000000003,4.0
106,183.1,2.0,72.71,5.0,32.57,1.0,117.79,4.0
107,215.46,3.0,438.90000000000003,2.0,61.75,1.0,44.75,1.0
108,677.5300000000001,11.0,671.75,3.0,514.0599999999998,6.0,485.88000000000005,6.0
109,24.7,1.0,73.6,1.0,0.0,0.0,0.0,0.0
110,103.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0
111,17.85,1.0,0.0,0.0,0.0,0.0,162.43,1.0
112,44.38999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,129.92,4.0,138.51,5.0,34.54,3.0,402.40999999999985,11.0
114,188.29000000000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0
115,109.61,4.0,0.0,0.0,0.0,0.0,23.42,1.0
116,112.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,260.96000000000004,4.0,0.0,0.0,32.0,1.0,19.47,1.0
118,85.66000000000001,3.0,61.28,2.0,202.40000000000003,5.0,0.0,0.0
119,148.51999999999998,2.0,235.24000000000007,2.0,239.47000000000006,4.0,112.60999999999999,1.0
120,58.370000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,193.15000000000003,9.0,14.9,2.0,80.52,7.0,142.67000000000002,8.0
122,75.18,2.0,41.540000000000006,2.0,36.11,2.0,0.0,0.0
123,42.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,23.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0
125,10.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,143.93,4.0,261.07,2.0,170.06,5.0,0.0,0.0
127,435.6199999999999,12.0,63.55,1.0,221.62,3.0,172.31000000000003,5.0
128,94.10000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0
129,172.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0
130,103.67,3.0,44.349999999999994,5.0,0.0,0.0,117.08,3.0
131,152.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,64.8,1.0,119.4,2.0,0.0,0.0,0.0,0.0
133,115.13000000000001,5.0,0.0,0.0,0.0,0.0,375.5300000000001,7.0
134,175.32,2.0,55.4,2.0,137.56,2.0,134.44000000000005,3.0
135,55.309999999999995,2.0,0.0,0.0,0.0,0.0,0.0,0.0
136,45.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0
137,57.830000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,31.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,148.25,4.0,471.09,5.0,269.91999999999996,10.0,69.21,2.0
140,170.41000000000003,4.0,0.0,0.0,0.0,0.0,0.0,0.0
141,35.720000000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,301.4700000000001,12.0,295.26,7.0,246.34,5.0,255.05,7.0
143,91.50999999999999,3.0,127.8,1.0,0.0,0.0,85.3,2.0
144,271.21999999999997,6.0,462.85999999999996,6.0,149.35999999999999,4.0,224.29,2.0
145,202.04999999999998,5.0,203.03000000000003,4.0,420.2199999999998,8.0,243.15,5.0
146,233.62,6.0,161.17000000000002,4.0,30.95,2.0,65.85,4.0
147,59.7,1.0,35.3,1.0,0.0,0.0,0.0,0.0
148,31.799999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,101.81000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0
150,3.0300000000000002,1.0,0.0,0.0,0.0,0.0,105.78,5.0
151,400.9399999999999,9.0,102.5,2.0,0.0,0.0,177.38000000000005,7.0
152,60.19,4.0,25.39,2.0,27.65,1.0,12.260000000000002,1.0
153,212.19000000000003,3.0,0.0,0.0,86.0,1.0,0.0,0.0
154,53.82000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,89.10000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0
156,141.77000000000004,5.0,12.96,1.0,51.32,2.0,110.09000000000002,4.0
157,12.440000000000001,1.0,0.0,0.0,22.799999999999997,2.0,0.0,0.0
158,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,59.75,3.0,440.4,1.0,0.0,0.0,0.0,0.0
160,59.129999999999995,1.0,66.49000000000001,1.0,0.0,0.0,0.0,0.0
161,27.279999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,106.50999999999999,3.0,0.0,0.0,147.92000000000002,2.0,0.0,0.0
163,138.47,4.0,102.17000000000002,2.0,0.0,0.0,47.4,2.0
164,181.31000000000003,5.0,0.0,0.0,114.24000000000001,4.0,274.76000000000005,5.0
165,40.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,40.480000000000004,2.0,0.0,0.0,23.78,2.0,3.5,1.0
167,133.56000000000003,3.0,0.0,0.0,69.17999999999999,4.0,84.56,3.0
168,65.28999999999999,3.0,80.3,1.0,71.13999999999999,3.0,44.34,2.0
169,43.82,1.0,0.0,0.0,67.24,1.0,0.0,0.0
170,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,47.34,2.0,48.36999999999999,1.0,0.0,0.0,0.0,0.0
172,180.18,5.0,373.1,2.0,48.94,2.0,34.92,2.0
173,73.3,1.0,53.7,1.0,0.0,0.0,0.0,0.0
174,402.83,8.0,64.51,1.0,516.91,6.0,249.91000000000005,6.0
175,106.60000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0
176,59.32,2.0,33.82,2.0,0.0,0.0,26.269999999999996,1.0
177,243.95000000000002,6.0,131.97,2.0,105.30000000000001,2.0,0.0,0.0
178,20.200000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
179,145.53,3.0,0.0,0.0,136.16000000000003,3.0,98.49,2.0
180,42.01,2.0,2.7,1.0,0.0,0.0,22.990000000000002,1.0
181,378.6599999999999,7.0,135.42,5.0,0.0,0.0,143.66,2.0
182,44.9,1.0,92.47999999999999,3.0,0.0,0.0,0.0,0.0
183,120.76,4.0,293.46,5.0,41.440000000000005,1.0,70.39999999999999,2.0
184,56.69,2.0,0.0,0.0,0.0,0.0,0.0,0.0
185,22.37,1.0,0.0,0.0,17.16,1.0,0.0,0.0
186,34.510000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,149.34,4.0,0.0,0.0,31.66,1.0,0.0,0.0
188,158.34000000000003,2.0,0.0,0.0,0.0,0.0,0.0,0.0
189,78.48,3.0,101.30000000000001,2.0,11.5,1.0,152.32999999999998,2.0
190,288.5799999999999,6.0,37.43,2.0,171.83000000000004,5.0,263.2,5.0
191,54.599999999999994,1.0,25.9,1.0,89.6,1.0,0.0,0.0
192,19.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,28.110000000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0
194,46.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,20.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,225.95000000000002,6.0,0.0,0.0,70.99,2.0,0.0,0.0
197,293.06000000000006,2.0,0.0,0.0,0.0,0.0,0.0,0.0
198,102.72,2.0,0.0,0.0,0.0,0.0,97.17000000000002,1.0
199,49.54,2.0,134.96,2.0,13.780000000000001,1.0,80.85,2.0
200,19.09,1.0,0.0,0.0,0.0,0.0,26.85,1.0
201,60.49999999999999,2.0,132.27,3.0,60.93,2.0,24.1,1.0
202,30.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,375.49999999999994,10.0,6.5,1.0,85.60000000000001,3.0,0.0,0.0
204,169.46,6.0,50.379999999999995,1.0,142.74,4.0,94.78,4.0
205,365.9599999999999,13.0,138.36999999999998,3.0,205.40999999999997,5.0,178.56000000000006,6.0
206,38.099999999999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,70.38,1.0,0.0,0.0,84.49000000000001,2.0,6.92,1.0
208,54.699999999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0
209,52.35,3.0,0.0,0.0,26.83,1.0,36.650000000000006,2.0
210,339.43999999999994,11.0,596.86,10.0,673.47,18.0,379.95999999999987,13.0
211,91.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0
212,374.81999999999994,12.0,277.1099999999999,6.0,186.76,7.0,250.89000000000001,4.0
213,42.199999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0
214,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,151.85,4.0,149.65999999999997,4.0,260.24,7.0,296.2699999999999,6.0
216,91.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
217,77.24,3.0,0.0,0.0,0.0,0.0,0.0,0.0
218,121.27000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0
219,18.4,1.0,0.0,0.0,0.0,0.0,7.6,1.0
220,178.93,4.0,34.7,1.0,145.3,2.0,147.76,3.0
221,57.28,2.0,489.03,4.0,79.3,1.0,77.74000000000001,1.0
222,14.919999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,348.6499999999999,6.0,21.01,1.0,254.11,6.0,120.59000000000002,3.0
224,65.69999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0
225,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,107.83,5.0,104.2,2.0,302.23000000000013,6.0,81.27,1.0
227,82.69000000000001,3.0,34.39,1.0,55.470000000000006,4.0,155.14000000000001,4.0
228,142.27999999999997,4.0,30.71,2.0,22.15,1.0,0.0,0.0
229,62.57000000000001,3.0,0.0,0.0,0.0,0.0,24.72,1.0
230,154.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231,332.9999999999999,7.0,332.24999999999994,4.0,592.5899999999998,8.0,245.57000000000002,3.0
232,11.5,1.0,0.0,0.0,0.0,0.0,18.8,1.0
233,27.9,1.0,82.30000000000001,1.0,0.0,0.0,0.0,0.0
234,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
235,133.1,5.0,182.70000000000002,5.0,187.41,5.0,125.60000000000001,3.0
236,29.0,3.0,177.13,2.0,132.52,5.0,390.98999999999995,6.0
237,79.35000000000001,4.0,22.419999999999998,2.0,0.0,0.0,0.0,0.0
238,106.8,7.0,95.05000000000003,6.0,63.38,7.0,168.11000000000004,5.0
239,18.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240,110.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241,42.50000000000001,2.0,115.03999999999999,4.0,68.43,2.0,64.0,2.0
242,249.67,5.0,41.34,2.0,74.22,2.0,100.25,2.0
243,43.7,1.0,0.0,0.0,0.0,0.0,16.9,1.0
244,73.66,1.0,0.0,0.0,14.34,1.0,76.03999999999999,2.0
245,21.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
246,144.02999999999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0
247,193.97999999999996,3.0,0.0,0.0,0.0,0.0,0.0,0.0
248,171.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
249,572.15,5.0,342.91999999999996,3.0,0.0,0.0,0.0,0.0
250,172.51000000000005,5.0,0.0,0.0,285.9800000000001,7.0,555.65,12.0
251,29.200000000000003,1.0,0.0,0.0,0.0,0.0,27.580000000000002,1.0
252,65.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
253,13.9,1.0,18.14,1.0,0.0,0.0,98.19000000000001,1.0
254,23.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255,181.1,3.0,75.69,2.0,0.0,0.0,331.11,4.0
256,275.61999999999995,5.0,15.16,1.0,147.38000000000002,4.0,0.0,0.0
257,8.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,203.72000000000006,3.0,94.3,1.0,37.62,1.0,82.2,2.0
259,120.73000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0
260,24.57,3.0,94.13000000000001,4.0,55.949999999999996,6.0,426.70999999999987,7.0
261,103.99,2.0,125.89000000000001,3.0,57.24999999999999,1.0,160.16,2.0
262,21.9,1.0,44.9,1.0,0.0,0.0,0.0,0.0
263,18.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,186.94000000000003,2.0,30.350000000000005,1.0,0.0,0.0,0.0,0.0
265,253.81000000000003,5.0,237.01,4.0,92.35999999999999,3.0,247.05000000000004,6.0
266,163.21,3.0,0.0,0.0,0.0,0.0,165.79,3.0
267,274.6000000000001,7.0,117.47000000000001,5.0,131.79000000000002,5.0,94.37,2.0
268,81.85,2.0,0.0,0.0,87.15,1.0,0.0,0.0
269,218.65999999999997,4.0,0.0,0.0,184.82000000000005,7.0,34.21,1.0
270,211.53,8.0,196.15,2.0,144.57000000000002,3.0,98.25000000000001,3.0
271,81.68,3.0,90.31,1.0,130.12,2.0,5.9,1.0
272,89.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273,74.5,1.0,73.30000000000001,1.0,0.0,0.0,0.0,0.0
274,366.04999999999995,6.0,0.0,0.0,145.39999999999998,2.0,231.11000000000004,3.0
275,15.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0
276,36.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0
277,117.14,2.0,487.5,1.0,0.0,0.0,0.0,0.0
278,199.22,2.0,0.0,0.0,25.51,1.0,66.19999999999999,1.0
279,20.62,1.0,21.759999999999998,1.0,0.0,0.0,61.95,3.0
280,127.95000000000003,11.0,48.0,3.0,0.0,0.0,0.0,0.0
281,67.30000000000001,7.0,9.2,1.0,30.940000000000005,3.0,81.49,7.0
282,18.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
283,51.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284,62.129999999999995,4.0,46.419999999999995,4.0,249.97999999999996,15.0,121.73000000000002,6.0
285,12.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0
286,367.30999999999995,4.0,282.78999999999996,3.0,139.75,3.0,198.23000000000008,5.0
287,70.86999999999999,3.0,95.49,1.0,107.63000000000001,3.0,30.3,1.0
288,4.5,1.0,0.0,0.0,0.0,0.0,21.1,1.0
289,4.16,2.0,0.0,0.0,0.0,0.0,26.9,1.0
290,77.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
291,77.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0
292,18.35,1.0,0.0,0.0,0.0,0.0,4.9,1.0
293,42.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0
294,315.00000000000006,2.0,0.0,0.0,73.9,2.0,129.76,2.0
295,20.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
296,55.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0
297,126.3,1.0,0.0,0.0,676.9999999999999,2.0,185.63,1.0
298,21.6,1.0,243.26000000000002,1.0,19.4,1.0,5.699999999999999,1.0
299,156.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
300,131.37,3.0,142.95000000000002,4.0,96.03,4.0,62.4,3.0
301,107.09000000000002,4.0,97.60000000000001,1.0,0.0,0.0,0.0,0.0
302,50.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
303,63.019999999999996,2.0,155.29,2.0,45.3,1.0,273.76,6.0
304,534.67,10.0,166.43,5.0,233.97999999999996,7.0,538.1599999999999,13.0
305,34.20000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0
306,97.22,4.0,29.9,1.0,138.67,2.0,80.7,1.0
307,35.76,1.0,0.0,0.0,0.0,0.0,5.09,1.0
308,276.39000000000004,5.0,18.0,1.0,44.1,1.0,30.6,1.0
309,152.86000000000004,5.0,162.73000000000002,4.0,195.57000000000005,4.0,89.9,3.0
310,105.66000000000001,1.0,0.0,0.0,22.3,1.0,65.23,2.0
311,183.65,2.0,0.0,0.0,66.79,2.0,55.15,1.0
312,188.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
313,27.5,1.0,100.61999999999999,3.0,77.81,3.0,0.0,0.0
314,76.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0
315,57.18,3.0,0.0,0.0,0.0,0.0,0.0,0.0
316,648.5500000000001,2.0,86.51000000000002,4.0,103.16,4.0,49.0,1.0
317,55.04,2.0,250.29,3.0,39.12,1.0,0.0,0.0
318,120.35,5.0,401.34,6.0,257.84,8.0,74.5,2.0
319,7.050000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
320,16.8,1.0,41.96,1.0,0.0,0.0,0.0,0.0
321,61.25,2.0,0.0,0.0,92.58999999999999,2.0,0.0,0.0
322,16.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0
323,45.49999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
324,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
325,85.89,2.0,0.0,0.0,0.0,0.0,80.61000000000001,1.0
326,350.9999999999999,7.0,163.9,3.0,60.74999999999999,1.0,160.60000000000002,5.0
327,96.33,3.0,0.0,0.0,74.9,3.0,31.15,1.0
328,78.7,2.0,26.0,1.0,0.0,0.0,0.0,0.0
329,155.0,2.0,0.0,0.0,141.79000000000002,1.0,16.71,2.0
330,38.72,1.0,0.0,0.0,66.67,2.0,67.72999999999999,1.0
331,62.589999999999996,4.0,0.0,0.0,4.8,1.0,117.73000000000002,4.0
332,182.50000000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0
333,145.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
334,97.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
335,33.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
336,36.8,1.0,64.67999999999999,3.0,0.0,0.0,26.31,1.0
337,56.74,2.0,219.88000000000008,7.0,61.57,2.0,163.17000000000002,3.0
338,72.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0
339,88.47999999999999,7.0,77.15999999999998,6.0,90.90000000000002,8.0,61.080000000000005,8.0
340,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
341,9.9,1.0,0.0,0.0,110.88,4.0,0.0,0.0
342,23.409999999999997,1.0,13.21,1.0,0.0,0.0,0.0,0.0
343,38.0,1.0,0.0,0.0,0.0,0.0,48.47,2.0
344,177.86999999999998,3.0,27.72,1.0,190.43000000000004,3.0,103.10000000000002,2.0
345,93.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0
346,294.45000000000005,3.0,0.0,0.0,26.57,1.0,0.0,0.0
347,54.989999999999995,2.0,125.48000000000002,1.0,41.589999999999996,1.0,211.18000000000006,1.0
348,80.49000000000001,3.0,118.41000000000001,4.0,290.94000000000005,6.0,599.3899999999999,11.0
349,74.46999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0
350,57.4,1.0,0.0,0.0,47.13,1.0,34.3,2.0
351,91.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
352,228.18000000000006,6.0,67.99999999999999,2.0,12.93,1.0,211.65999999999997,5.0
353,173.75,4.0,144.74,5.0,117.21000000000001,4.0,52.8,2.0
354,238.15,3.0,70.35,1.0,79.85,1.0,116.17,2.0
355,215.49000000000004,3.0,194.85,2.0,0.0,0.0,0.0,0.0
356,53.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0
357,150.54999999999998,2.0,0.0,0.0,59.24,1.0,0.0,0.0
358,45.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0
359,30.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
360,25.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0
361,90.4,1.0,59.3,1.0,0.0,0.0,0.0,0.0
362,164.60000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0
363,27.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
